#Year,Month,Port1,Port2,Route,$Value,$Real
2014,6,Albury,Sydney,Albury - Sydney,250,316.572238
2014,10,Melbourne,Sydney,Melbourne - Sydney,90,113.217636
2020,7,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,350,403.9156627
2010,10,Brisbane,Perth,Brisbane - Perth,458,633.8266254
2010,11,Canberra,Sydney,Canberra - Sydney,158,218.6563467
2022,5,Melbourne,Gold Coast,Melbourne - Gold Coast,146,155.2624901
2012,9,Perth,Newman,Perth - Newman,680,895.7563851
2019,10,Albury,Sydney,Albury - Sydney,264,304.6678141
2015,9,Kalgoorlie,Perth,Kalgoorlie - Perth,438,543.85
2019,1,Cairns,Sydney,Cairns - Sydney,254.9,299.5801052
2022,1,Darwin,Sydney,Darwin - Sydney,318,344.1791768
2019,6,Sunshine Coast,Sydney,Sunshine Coast - Sydney,167,195.075784
2016,5,Brisbane,Sydney,Brisbane - Sydney,114,140.7679558
2011,2,Brisbane,Townsville,Brisbane - Townsville,248,338.3194303
2022,11,Hobart,Melbourne,Hobart - Melbourne,332,340.3761468
2016,5,Cairns,Sydney,Cairns - Sydney,248,306.2320442
2018,11,Brisbane,Melbourne,Brisbane - Melbourne,218.9,257.269851
2018,9,Broome,Perth,Broome - Perth,660.01,779.8003612
2010,2,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,308.4863445
2018,1,Adelaide,Brisbane,Adelaide - Brisbane,178,211.9875666
2018,3,Ballina,Sydney,Ballina - Sydney,150,178.6412078
2015,2,Melbourne,Mildura,Melbourne - Mildura,238,298.8370787
2018,11,Brisbane,Darwin,Brisbane - Darwin,309,363.1630149
2018,8,Adelaide,Alice Springs,Adelaide - Alice Springs,456.52,539.3773744
2022,4,Albury,Sydney,Albury - Sydney,317.6,337.749088
2020,1,Melbourne,Townsville,Melbourne - Townsville,362,416.3310463
2014,1,Karratha,Perth,Karratha - Perth,570,725.2087287
2014,5,Broome,Perth,Broome - Perth,554,701.5240793
2018,12,Melbourne,Townsville,Melbourne - Townsville,446,524.1770377
2019,10,Dubbo,Sydney,Dubbo - Sydney,382.47,441.3874957
2023,3,Paraburdoo,Perth,Paraburdoo - Perth,820,829.2760181
2010,10,Adelaide,Gold Coast,Adelaide - Gold Coast,157.9,218.5179567
2015,8,Alice Springs,Sydney,Alice Springs - Sydney,738,916.35
2012,1,Melbourne,Mildura,Melbourne - Mildura,168,225.5135135
2018,5,Armidale,Sydney,Armidale - Sydney,291.61,346.0610708
2020,6,Sydney,Tamworth,Sydney - Tamworth,294,344.6276224
2010,4,Hobart,Melbourne,Hobart - Melbourne,56,78.38830898
2019,1,Melbourne,Newcastle,Melbourne - Newcastle,160,188.0455741
